prompt_en,task_category,difficulty,clarity_score,specificity_score,completeness_score
"Summarise the main arguments made in a typical climate change policy debate, covering both sides in under 200 words.",summarisation,medium,4,4,4
"Read the following passage and write a one-paragraph summary that captures the key idea: 'Artificial intelligence is transforming the way businesses operate, from automating repetitive tasks to enabling data-driven decisions at scale.'",summarisation,easy,5,5,4
"Condense the following news article about a fictional city council meeting into three bullet points, each under 20 words.",summarisation,easy,5,4,4
"Summarise the plot of Romeo and Juliet in exactly 100 words, maintaining chronological order.",summarisation,medium,5,5,5
"Write an executive summary of a hypothetical annual report for a mid-sized technology company, covering revenue, challenges, and outlook.",summarisation,hard,4,4,4
"Summarise the key differences between supervised and unsupervised machine learning in plain English, suitable for a non-technical reader.",summarisation,medium,5,5,4
"In three sentences, summarise what photosynthesis is and why it matters for life on Earth.",summarisation,easy,5,5,5
"Provide a one-page summary of the Industrial Revolution, covering causes, key developments, and lasting consequences.",summarisation,hard,4,4,5
"Summarise the main themes of George Orwell's 1984 without revealing the ending, in under 150 words.",summarisation,medium,4,4,4
"Create a concise briefing document summarising three major geopolitical events from the past decade and their ongoing impact.",summarisation,hard,4,5,4
"Summarise the process of how a bill becomes a law in a democratic system in under 100 words.",summarisation,easy,5,5,5
"Write a 200-word summary of the history of the internet, from ARPANET to the modern web.",summarisation,medium,5,5,4
"Condense the following paragraph into a single sentence without losing the core meaning: 'The global economy is increasingly interconnected, meaning that a financial crisis in one country can rapidly spread to others through trade, investment, and currency markets.'",summarisation,easy,5,5,5
"Summarise the scientific consensus on the health effects of ultra-processed foods in 100 words or fewer.",summarisation,medium,4,5,4
"Write a TL;DR for a 10-page hypothetical research paper on the effectiveness of mindfulness-based stress reduction techniques.",summarisation,hard,4,4,4
"Summarise the life and contributions of Marie Curie in exactly five sentences.",summarisation,easy,5,5,5
"Read the following product description and summarise its key features in three bullet points.",summarisation,easy,5,4,4
"Summarise the debate around universal basic income, presenting the strongest argument for and the strongest argument against.",summarisation,hard,4,5,4
"In two paragraphs, summarise how vaccines work and why herd immunity matters.",summarisation,medium,5,5,5
"Write a brief abstract (under 150 words) for a fictional study on the impact of social media use on teenage mental health.",summarisation,medium,4,4,4
"What is the capital of Australia, and why do many people mistakenly think it is Sydney?",question_answering,easy,5,5,5
"Explain how a transformer neural network works, as if you are teaching a computer science undergraduate.",question_answering,hard,4,5,4
"What are the three branches of government in the United States, and what is each responsible for?",question_answering,easy,5,5,5
"Why does the sky appear blue during the day but orange and red at sunset?",question_answering,easy,5,5,5
"What is the difference between a virus and a bacteria, and why does it matter for treatment?",question_answering,medium,5,5,5
"How does compound interest work, and why is starting to save early so important?",question_answering,medium,5,5,5
"What caused the 2008 global financial crisis, and what were its main consequences?",question_answering,hard,4,5,4
"Explain the concept of supply and demand using a real-world example that a 14-year-old would understand.",question_answering,medium,5,5,5
"What is quantum entanglement, and why did Einstein call it 'spooky action at a distance'?",question_answering,hard,4,5,4
"How does the human immune system recognise and fight a pathogen it has never encountered before?",question_answering,hard,4,5,4
"What is the difference between climate and weather, and why is this distinction important?",question_answering,easy,5,5,5
"Why is the Magna Carta considered historically significant, and what principles did it establish?",question_answering,medium,4,5,4
"Explain how GPS technology determines your exact location anywhere on Earth.",question_answering,medium,4,5,4
"What are the main differences between a parliamentary and a presidential system of government?",question_answering,medium,5,5,4
"How does a lithium-ion battery store and release energy?",question_answering,medium,4,5,4
"What is the placebo effect, and what does research say about how and why it works?",question_answering,hard,4,5,4
"Explain the concept of opportunity cost with a concrete, everyday example.",question_answering,easy,5,5,5
"What is CRISPR gene editing, and what are the most promising and most controversial applications?",question_answering,hard,4,5,4
"How does a search engine like Google decide which results to show at the top of the page?",question_answering,medium,4,5,4
"What is the difference between RAM and storage in a computer, explained in plain terms?",question_answering,easy,5,5,5
"Write a short story (200–300 words) about a lighthouse keeper who discovers a message in a bottle that changes her life.",creative_writing,medium,5,4,4
"Write the opening paragraph of a thriller novel set in a monsoon-flooded city, establishing tension and atmosphere.",creative_writing,hard,4,4,4
"Compose a haiku about the feeling of finishing a long book late at night.",creative_writing,easy,5,4,5
"Write a dialogue between two old friends who meet unexpectedly at an airport after ten years apart.",creative_writing,medium,4,4,4
"Write a 150-word product description for a fictional smartwatch designed for elderly users, emphasising simplicity and safety.",creative_writing,medium,5,5,4
"Write a children's story (200 words) about a curious fox who learns why honesty matters.",creative_writing,easy,5,4,4
"Write a villain's monologue for a stage play. The villain believes they are saving the world, not destroying it.",creative_writing,hard,4,4,4
"Write a poem about rain from the perspective of someone who grew up in a desert.",creative_writing,medium,4,4,4
"Write the first email a newly hired employee sends to introduce themselves to their team. Make it warm, professional, and slightly witty.",creative_writing,easy,5,5,5
"Write a 250-word science fiction flash fiction story where the twist is revealed in the final sentence.",creative_writing,hard,4,4,4
"Write a travel blog post opening paragraph about visiting a small fishing village at dawn.",creative_writing,medium,4,4,4
"Compose a lullaby for a child who is afraid of thunderstorms, using reassuring imagery.",creative_writing,easy,5,4,4
"Write a persuasive letter from a fictional character arguing that their town should build a public library.",creative_writing,medium,4,4,4
"Write a 200-word scene where a scientist makes an unexpected discovery in their lab at midnight.",creative_writing,hard,4,4,4
"Write a eulogy for a fictional beloved community baker named Margaret, aged 84.",creative_writing,medium,4,4,4
"Write the back-cover blurb for a mystery novel set in a remote mountain monastery.",creative_writing,medium,4,5,4
"Write a short poem celebrating the Malayalam language and the culture it carries.",creative_writing,medium,4,4,4
"Write a comedic monologue from the perspective of a houseplant that has been neglected for three weeks.",creative_writing,easy,5,4,4
"Write an opening scene of a coming-of-age story set in a small Indian coastal town during the monsoon season.",creative_writing,hard,4,4,4
"Write a formal letter of complaint to a fictional airline about a lost suitcase, in a tone that is firm but polite.",creative_writing,medium,5,5,4
